error	steps
335300115.0	0.0
332830931.0	1.0
330410126.0	2.0
329479609.0	3.0
326788980.0	4.0
324781900.0	5.0
324170383.0	6.0
322058699.0	7.0
320507274.0	8.0
320207143.0	9.0
318598862.0	10.0
316928481.0	11.0
315121274.0	12.0
314336221.0	13.0
311937209.0	14.0
310013538.0	15.0
309468348.0	16.0
308235019.0	17.0
307503447.0	18.0
307152672.0	19.0
305402765.0	20.0
304893553.0	21.0
303180336.0	22.0
302171673.0	23.0
301336664.0	24.0
300705477.0	25.0
300240675.0	26.0
299526043.0	27.0
297302843.0	28.0
295852592.0	29.0
293521465.0	30.0
293041840.0	31.0
292421741.0	32.0
291943247.0	33.0
291229124.0	34.0
290817786.0	35.0
289157610.0	36.0
288604576.0	37.0
286034070.0	38.0
285750999.0	39.0
285221392.0	40.0
284604041.0	41.0
283294395.0	42.0
282151642.0	43.0
280217273.0	44.0
280093805.0	45.0
279327077.0	46.0
278489491.0	47.0
277887104.0	48.0
277369387.0	49.0
277021401.0	50.0
275589925.0	51.0
273478219.0	52.0
272896517.0	53.0
271088618.0	54.0
270798011.0	55.0
269700286.0	56.0
268471266.0	57.0
267879322.0	58.0
267446860.0	59.0
265675784.0	60.0
265321649.0	61.0
263933457.0	62.0
263511287.0	63.0
262982054.0	64.0
262241964.0	65.0
261645849.0	66.0
260987993.0	67.0
260265236.0	68.0
259691195.0	69.0
258978413.0	70.0
258648789.0	71.0
257682343.0	72.0
256947923.0	73.0
255889617.0	74.0
255388903.0	75.0
255205397.0	76.0
254837431.0	77.0
254485384.0	78.0
253610813.0	79.0
252767552.0	80.0
252517331.0	81.0
251773316.0	82.0
251429685.0	83.0
250928110.0	84.0
249544890.0	85.0
249038065.0	86.0
248912349.0	87.0
248124910.0	88.0
247385978.0	89.0
247313769.0	90.0
246604198.0	91.0
245217081.0	92.0
243923187.0	93.0
243453512.0	94.0
242629341.0	95.0
241465583.0	96.0
241202651.0	97.0
239795706.0	98.0
239300541.0	99.0
238940072.0	100.0
237972196.0	101.0
237685233.0	102.0
237089811.0	103.0
236314507.0	104.0
236118823.0	105.0
235430955.0	106.0
235356764.0	107.0
235163552.0	108.0
234978467.0	109.0
234366906.0	110.0
234210372.0	111.0
233823965.0	112.0
232906009.0	113.0
232618992.0	114.0
231802006.0	115.0
231338223.0	116.0
231110589.0	117.0
230557608.0	118.0
230413577.0	119.0
229982847.0	120.0
229932331.0	121.0
229822555.0	122.0
229539866.0	123.0
228915896.0	124.0
228793362.0	125.0
228477958.0	126.0
227687701.0	127.0
227655592.0	128.0
227607750.0	129.0
226381387.0	130.0
226026184.0	131.0
225378469.0	132.0
225247142.0	133.0
224982726.0	134.0
224741601.0	135.0
224150089.0	136.0
223990613.0	137.0
223326121.0	138.0
223132272.0	139.0
223007866.0	140.0
222407972.0	141.0
222180876.0	142.0
222054237.0	143.0
221483481.0	144.0
221233848.0	145.0
221128576.0	146.0
220602368.0	147.0
220456364.0	148.0
220111522.0	149.0
220075535.0	150.0
219946417.0	151.0
219930273.0	152.0
219279819.0	153.0
218885742.0	154.0
218477244.0	155.0
218233095.0	156.0
218219279.0	157.0
218166184.0	158.0
218133998.0	159.0
218052147.0	160.0
217906720.0	161.0
217446693.0	162.0
217404241.0	163.0
216516980.0	164.0
216457950.0	165.0
216366450.0	166.0
215971448.0	167.0
215954063.0	168.0
215861374.0	169.0
215651892.0	170.0
215172797.0	171.0
215162206.0	172.0
215154877.0	173.0
214933246.0	174.0
214164120.0	175.0
213827960.0	176.0
213339951.0	177.0
213096888.0	178.0
213068994.0	179.0
213040682.0	180.0
212267953.0	181.0
211624684.0	182.0
211606642.0	183.0
211355751.0	184.0
211282503.0	185.0
211164800.0	186.0
211060941.0	187.0
211048883.0	188.0
210843168.0	189.0
210825412.0	190.0
210502564.0	191.0
210270167.0	192.0
209583720.0	193.0
209176537.0	194.0
209162999.0	195.0
208921344.0	196.0
208599040.0	197.0
208363261.0	198.0
208277919.0	199.0
208087010.0	200.0
207935871.0	201.0
207737896.0	202.0
207699684.0	203.0
207693155.0	204.0
207510124.0	205.0
207500442.0	206.0
207415331.0	207.0
207309212.0	208.0
206893001.0	209.0
206826994.0	210.0
206785032.0	211.0
206759714.0	212.0
206725850.0	213.0
206524492.0	214.0
206499340.0	215.0
206389491.0	216.0
206072756.0	217.0
206057287.0	218.0
205793026.0	219.0
205706301.0	220.0
205550173.0	221.0
205509368.0	222.0
205457802.0	223.0
205450159.0	224.0
205328114.0	225.0
205185582.0	226.0
205055710.0	227.0
204946512.0	228.0
204848916.0	229.0
204586414.0	230.0
204551504.0	231.0
204297553.0	232.0
203915164.0	233.0
203668184.0	234.0
203471203.0	235.0
203447338.0	236.0
203443670.0	237.0
203376106.0	238.0
203368839.0	239.0
203207753.0	240.0
203168428.0	241.0
203030461.0	242.0
202910452.0	243.0
202835765.0	244.0
202729961.0	245.0
202721371.0	246.0
202620317.0	247.0
202603932.0	248.0
202451638.0	249.0
202392112.0	250.0
202382656.0	251.0
202345314.0	252.0
201940372.0	253.0
201768148.0	254.0
201744859.0	255.0
201727314.0	256.0
201722072.0	257.0
201704968.0	258.0
201693093.0	259.0
201566412.0	260.0
201521986.0	261.0
201513563.0	262.0
201396066.0	263.0
201325765.0	264.0
201223516.0	265.0
201186468.0	266.0
200992250.0	267.0
200981126.0	268.0
200875487.0	269.0
200869482.0	270.0
200866962.0	271.0
200777624.0	272.0
200656036.0	273.0
200654972.0	274.0
200637222.0	275.0
200556264.0	276.0
200503066.0	277.0
200322292.0	278.0
200268497.0	279.0
200212213.0	280.0
200084404.0	281.0
200066948.0	282.0
200004472.0	283.0
199803988.0	284.0
199776202.0	285.0
199648769.0	286.0
199464744.0	287.0
199434034.0	288.0
199375912.0	289.0
199373180.0	290.0
199314444.0	291.0
199257002.0	292.0
199249376.0	293.0
199243172.0	294.0
199176920.0	295.0
199139826.0	296.0
198886857.0	297.0
198744769.0	298.0
198625102.0	299.0
198614460.0	300.0
198602561.0	301.0
198505355.0	302.0
198488505.0	303.0
198426867.0	304.0
198338037.0	305.0
198336093.0	306.0
198329659.0	307.0
198265817.0	308.0
198130276.0	309.0
198094514.0	310.0
198071411.0	311.0
198036500.0	312.0
197997673.0	313.0
197979739.0	314.0
197923476.0	315.0
197801280.0	316.0
197784780.0	317.0
197783276.0	318.0
197768750.0	319.0
197757612.0	320.0
197726046.0	321.0
197609981.0	322.0
197524090.0	323.0
197463614.0	324.0
197410439.0	325.0
197410439.0	326.0
197402565.0	327.0
197377524.0	328.0
197358582.0	329.0
197357654.0	330.0
197356116.0	331.0
197243759.0	332.0
197243759.0	333.0
197147891.0	334.0
197140612.0	335.0
197138630.0	336.0
197135770.0	337.0
197094342.0	338.0
