"Days","Dims","Shape","Elements","Feats","Outputs","Misc","Model","Desc","Time Taken","MAE","RMSE","R2","Macro Acc","Bal Acc","Micro Acc","Precision","Recall","F1","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10"
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","DummyRegressor","DummyRegressor()",0.000996589660644531,1.8071,2.7324,0,0.2236,0.5,0.5571,0.5576,1,0.7158,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7561,1.1183,1.3944,1.635,1.8128,1.9779,2.1264,2.2655,2.4221,2.5626
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","LinearRegression","LinearRegression()",0.101731061935425,1.7978,2.6991,0.021,0.1401,0.5298,0.5502,0.5795,0.6988,0.6334,0.5286,0.5236,0.5287,0.5285,0.5223,0.527,0.5303,0.5364,0.536,0.5362,0.7561,1.1198,1.3909,1.6311,1.8089,1.9723,2.1166,2.2458,2.3984,2.5384
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","DecisionTreeRegressor","DecisionTreeRegressor()",6.13452839851379,1.6646,2.5934,-0.0609,0.1489,0.6673,0.6713,0.7059,0.7034,0.7047,0.5146,0.5976,0.6384,0.6663,0.6874,0.6984,0.7178,0.7186,0.7146,0.7192,1.0723,1.3418,1.4744,1.59,1.6788,1.7614,1.8111,1.8733,1.99,2.0531
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","KNeighborsRegressor","KNeighborsRegressor()",0.387240409851074,1.6612,2.5585,0.0765,0.1528,0.6248,0.6313,0.6652,0.6818,0.6734,0.5017,0.5645,0.6096,0.6321,0.6341,0.6449,0.6582,0.6684,0.6659,0.6682,0.8351,1.1446,1.3622,1.532,1.6805,1.7901,1.9061,1.9973,2.1162,2.2475
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=8, n_jobs=-1)",7.72398328781128,1.3367,1.9662,0.3846,0.2031,0.7055,0.7113,0.7337,0.7572,0.7452,0.5356,0.6207,0.6806,0.7155,0.7242,0.7461,0.7553,0.7601,0.7534,0.7638,0.8216,1.0431,1.1781,1.285,1.3529,1.4091,1.4587,1.5217,1.6138,1.6829
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=8, n_jobs=-1)",1.00783658027649,1.1927,1.8441,0.4418,0.2352,0.754,0.7592,0.7745,0.8022,0.7881,0.5368,0.6668,0.7263,0.7679,0.7852,0.7939,0.8048,0.8217,0.8166,0.8201,0.8303,0.9819,1.0757,1.139,1.1844,1.2412,1.2891,1.3263,1.4023,1.4565
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=12, n_jobs=-1)",8.88445472717285,1.2812,1.9095,0.4183,0.2223,0.7315,0.7378,0.7529,0.7892,0.7706,0.5313,0.6465,0.7045,0.7517,0.764,0.775,0.7804,0.7946,0.7825,0.7845,0.7945,1.0108,1.1339,1.2283,1.3002,1.3509,1.3999,1.4513,1.5349,1.6072
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=12, n_jobs=-1)",1.38606739044189,1.1779,1.7981,0.4714,0.2385,0.7614,0.7666,0.7806,0.8094,0.7947,0.5308,0.6741,0.739,0.7777,0.7937,0.8033,0.8194,0.8257,0.8269,0.824,0.8112,0.9622,1.0453,1.1227,1.1775,1.23,1.2678,1.3099,1.3954,1.4566
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=16, n_jobs=-1)",12.4510543346405,1.2708,1.8972,0.4278,0.2369,0.7407,0.7472,0.76,0.8,0.7794,0.5425,0.6519,0.7125,0.7494,0.7709,0.7813,0.7949,0.8034,0.7964,0.8039,0.7824,0.9943,1.1297,1.2277,1.2858,1.3352,1.3762,1.4395,1.5288,1.6087
"Experiment 1, SP500,1D",2,"(19554, 92)",19554,92,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=16, n_jobs=-1)",1.54029822349548,1.1347,1.7329,0.5012,0.2598,0.7792,0.7843,0.7951,0.8272,0.8108,0.5406,0.6896,0.7632,0.7983,0.8128,0.8192,0.8339,0.8439,0.8433,0.8471,0.8011,0.9356,1.015,1.0919,1.1292,1.1773,1.2087,1.2616,1.3349,1.392
