Test,Dims,Shape,Elements,Feats,Etc,Model,Desc,Time Taken,RMSE,R2,Micro Acc,Bal Acc,Macro Acc,Precision,Recall,F1
Test 1,2,"(98454, 6)",98454,6,Full,DummyRegressor,DummyRegressor(),0.0038077831268310547,69.0377,-0.0008,0.5875,0.5,0.2352,0.5875,1.0,0.74
Test 1,2,"(98454, 6)",98454,6,Full,LinearRegression,LinearRegression(),0.030491113662719727,69.0366,-0.0018,0.5708,0.5007,0.2223,0.5879,0.9013,0.7114
Test 1,2,"(98454, 6)",98454,6,Full,DecisionTreeRegressor,DecisionTreeRegressor(),1.9319007396697998,10.6378,0.8857,0.8705,0.8666,0.397,0.8878,0.8887,0.8883
Test 1,2,"(98454, 6)",98454,6,Full,RandomForestRegressor,RandomForestRegressor(n_jobs=-1),21.990511894226074,15.6114,-1.2106,0.901,0.8961,0.4697,0.9069,0.9245,0.9156
Test 1,2,"(98454, 6)",98454,6,Full,ExtraTreesRegressor,ExtraTreesRegressor(n_jobs=-1),6.087213039398193,16.5338,-7.1197,0.9034,0.8985,0.4771,0.9087,0.9266,0.9176
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=2, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.3031003475189209,58.9232,0.1758,0.5951,0.5105,0.235,0.5926,0.9959,0.7428
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=4, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.1836681365966797,50.9829,0.2552,0.5973,0.5136,0.2351,0.5942,0.994,0.7435
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=8, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.2906687259674072,40.1528,0.2126,0.6007,0.5184,0.2348,0.5966,0.9912,0.7445
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=16, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.44454216957092285,30.6736,-0.0666,0.6068,0.5275,0.2348,0.6013,0.9838,0.7461
Test 1,2,"(98454, 6)",98454,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=32, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.7975409030914307,26.9908,-0.3866,0.6246,0.5536,0.2367,0.6158,0.9607,0.7502
