Test,Dims,Shape,Elements,Feats,Outputs,Etc,Model,Desc, Time Taken,MAE,RMSE,R2,Macro Acc,Bal Acc,Micro Acc,Precision,Recall,F1,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
Test 1,2,"(19537, 6)",19537,6,10,Full,DummyRegressor,DummyRegressor(),0.000996589660644531,1.8008,2.7456,-0.0008,0.218,0.5,0.5485,0.549,1,0.7087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7509,1.1106,1.3907,1.6212,1.7982,1.9727,2.1275,2.2814,2.4154,2.5399
Test 1,2,"(19537, 6)",19537,6,10,Full,LinearRegression,LinearRegression(),0.00697946548461914,1.8017,2.744,0.0002,0.2082,0.4966,0.5427,0.5473,0.9669,0.6989,0.4978,0.4954,0.4956,0.4966,0.4991,0.494,0.4977,0.4979,0.4956,0.4964,0.7513,1.113,1.3917,1.623,1.7992,1.9736,2.1274,2.2814,2.4166,2.54
Test 1,2,"(19537, 6)",19537,6,10,Full,DecisionTreeRegressor,DecisionTreeRegressor(),0.387699365615845,1.3629,2.1154,0.1919,0.1754,0.7262,0.7295,0.7491,0.7628,0.7559,0.5262,0.6126,0.6861,0.7219,0.7487,0.7692,0.7848,0.7956,0.8102,0.8065,1.0535,1.2746,1.3434,1.3749,1.4121,1.4271,1.3954,1.4376,1.4361,1.4747
Test 1,2,"(19537, 6)",19537,6,10,Full,KNeighborsRegressor,KNeighborsRegressor(),0.0458457469940186,1.3386,2.0297,0.342,0.2182,0.7017,0.7062,0.7248,0.7503,0.7373,0.5273,0.6018,0.6401,0.6969,0.7238,0.7457,0.7638,0.7701,0.7721,0.7758,0.8171,1.106,1.2919,1.3642,1.3997,1.4236,1.448,1.4792,1.5073,1.5494
Test 1,2,"(19537, 6)",19537,6,10,Full,RandomForestRegressor,"RandomForestRegressor(n_estimators=2, n_jobs=-1)",0.313425064086914,1.3754,2.0668,0.2785,0.1889,0.7034,0.7074,0.7276,0.7469,0.7371,0.5195,0.5963,0.6466,0.6967,0.7192,0.7366,0.7659,0.7743,0.785,0.7938,0.931,1.2103,1.3299,1.396,1.4235,1.4667,1.4602,1.4923,1.5171,1.5273
Test 1,2,"(19537, 6)",19537,6,10,Full,ExtraTreesRegressor,"ExtraTreesRegressor(n_estimators=2, n_jobs=-1)",0.0973403453826904,1.4354,2.2309,0.2011,0.1799,0.6998,0.7031,0.7271,0.7352,0.7311,0.5328,0.6034,0.6563,0.6998,0.7178,0.7365,0.7498,0.7632,0.7643,0.7743,0.9446,1.2,1.3456,1.4129,1.4751,1.5093,1.5463,1.5838,1.6408,1.6954
Test 1,2,"(19537, 6)",19537,6,10,Full,RandomForestRegressor,"RandomForestRegressor(n_estimators=4, n_jobs=-1)",0.384775161743164,1.231,1.8186,0.4204,0.218,0.7331,0.7362,0.7559,0.7697,0.7627,0.5293,0.6313,0.6868,0.7296,0.7554,0.7709,0.7963,0.8051,0.8113,0.8149,0.8693,1.0989,1.2067,1.2695,1.2837,1.2865,1.2756,1.3122,1.3454,1.3623
Test 1,2,"(19537, 6)",19537,6,10,Full,ExtraTreesRegressor,"ExtraTreesRegressor(n_estimators=4, n_jobs=-1)",0.100502014160156,1.3254,2.0382,0.3143,0.1943,0.7151,0.7185,0.7394,0.7541,0.7466,0.5198,0.6233,0.6767,0.7137,0.7236,0.754,0.7683,0.7793,0.7924,0.7995,0.8953,1.1223,1.247,1.3015,1.3732,1.4136,1.4186,1.4843,1.4906,1.5079
Test 1,2,"(19537, 6)",19537,6,10,Full,RandomForestRegressor,"RandomForestRegressor(n_estimators=8, n_jobs=-1)",0.496279716491699,1.1704,1.74,0.4569,0.2422,0.7502,0.7541,0.7668,0.794,0.7801,0.5323,0.6403,0.7017,0.7493,0.7751,0.7933,0.8176,0.8268,0.8266,0.8391,0.8451,1.0675,1.157,1.1948,1.2114,1.2316,1.2159,1.2424,1.264,1.2749
Test 1,2,"(19537, 6)",19537,6,10,Full,ExtraTreesRegressor,"ExtraTreesRegressor(n_estimators=8, n_jobs=-1)",0.123451948165894,1.211,1.871,0.4061,0.2264,0.7458,0.7488,0.7667,0.782,0.7742,0.5268,0.6451,0.7123,0.7533,0.7656,0.7863,0.8058,0.8126,0.8206,0.8294,0.8653,1.0627,1.1539,1.1945,1.236,1.2804,1.2802,1.3264,1.3463,1.3646
Test 1,2,"(19537, 6)",19537,6,10,Full,RandomForestRegressor,"RandomForestRegressor(n_estimators=16, n_jobs=-1)",0.757406234741211,1.1384,1.6967,0.4885,0.2487,0.7598,0.7639,0.7744,0.806,0.7898,0.5436,0.6524,0.7154,0.756,0.7863,0.8051,0.8234,0.8314,0.8388,0.8456,0.8235,1.0341,1.1297,1.158,1.1676,1.1828,1.1986,1.2152,1.2274,1.2473
Test 1,2,"(19537, 6)",19537,6,10,Full,ExtraTreesRegressor,"ExtraTreesRegressor(n_estimators=16, n_jobs=-1)",0.194027662277222,1.1862,1.8199,0.4358,0.2295,0.7524,0.756,0.7699,0.7939,0.7816,0.5333,0.6545,0.7131,0.7592,0.7729,0.8003,0.809,0.8202,0.8224,0.8389,0.8381,1.0423,1.1398,1.1804,1.212,1.2388,1.2586,1.2992,1.3243,1.329
Test 1,2,"(19537, 6)",19537,6,10,Full,RandomForestRegressor,"RandomForestRegressor(n_estimators=32, n_jobs=-1)",1.50835418701172,1.1164,1.6642,0.5009,0.2614,0.7642,0.7681,0.7785,0.8096,0.7937,0.5366,0.6676,0.7168,0.7622,0.7868,0.8096,0.8295,0.8368,0.8395,0.8563,0.8174,1.0213,1.1162,1.1393,1.1451,1.1643,1.1611,1.1908,1.1945,1.2143
